sport,post_number,poster_name,has_quote,quoted_user,post_text
NFL,29,fubah2,True,fubah2,"6 - 2 so far (3 -2 *BBs) Leaning toward some heavy chalk on BILLS...unsure GL with YOUR bets, fellas!"
NFL,30,fubah2,True,fubah2,"BILLS -3 -375 buying pts @Bet365 *BEST BET GL with YOUR bets, fellas!"
NFL,31,fubah2,True,fubah2,Sure glad I bought pts here! Even if the Packers had scored another late TD I still would have escaped with a push at worst. Battle of OHIO on Monday should be fun... BoL fellas!
NFL,32,JDD,False,,"I probably wouldn't have laid 3 at -375 when the straight ML was -500.........but I like what you do I think its best to manipulate these lines when ya can, reasonably. Everyone is complaining about this game, but you hit at -3 and I bet the Bills 3 separate times at -9.5 all at different odds I feel like some of the lines are doable, but lots of times manipulating them is better, or waiiting.....for live..... Anyway nice job."
NFL,33,baish2012,True,fubah2,"You do realize you got super bigtime lucky with your Falcons pick. Panthers scored with just 12 ticks left in the game to tie it and all they needed to do was kick the extra pt to win it, but he shanked it. Then in OT Panthers had the ball at the Falcons 14 and lined up for a chip shot fieldgoal to redeem himself and win it, but he shanked the chip shot too! Falcons then got their fieldgoal to end it."
NFL,34,spockgato,False,,Good work pilgrim
NFL,35,fubah2,True,JDD,"Well done! Mind you, every now and then I LOSE ""bigly"" on a heavy fav, like for example when Buccaneers sht their pants playing the lowly Panthers who had just traded away their top receiver and their #1 top RB (McCaffery) But betting carefully, one can account for those ""acceptable losses"" and still come out way ahead. They're a bitch but I don't allow those flukes to upset or depress me like they used to. Back then I would frequently ""chase"" after losing on a fluky upset, trying to get back those lost profits, and you KNOW what inevitably happened whenever I did that ... .....Life's hard lessons......... It's been stated so many times: Discipline & Patience!! And intuitively we think we understand that....but....then after an upset loss (or horrible ""bad beat"") we allow our emotions to get the better of us, discipline goes out the window - we ""chase"" - and sure enough the ""hard lessons"" smack us down yet again, but even worse! That used to be me. Now, upon further review of my mistakes, I see that had I just maintained a sense of calm and called those ""flukes""/bad beats to be a calculated inevitably from the law of averages, I would have continued on course and made net profit. But nope. I chased...lost of course.... then chased some more thinking there's just no way I could POSSIBLY lose again on successive ""sure thing"" ....and naturally lost even more until my BR was gone. Three separate times I vividly remember starting out with a 4 digit BR, and built it up to at least quadruple or more (5 digit BR), only to lose it all when I got emotional and chased after a bewildering ""bad beat""....which of course was followed by successive bad beats and no more BR."
NFL,36,fubah2,True,fubah2,"7 - 2 last week (4 -2 *BBs) GL with YOUR bets this week, fellas!"
NFL,37,fubah2,True,fubah2,"Risky bets for Nov. 6: (buying pts in most games....GL with YOUR bets this week, fellas!) Jets +14.5 -156"
NFL,38,Raiders22,False,,Good luck. I like it.
NFL,39,fubah2,True,fubah2,Bengals -317 *BEST BET
NFL,40,fubah2,True,fubah2,Lions +10 -244
NFL,41,fubah2,True,fubah2,Patriots -1.5 -190 *BEST BET
NFL,42,fubah2,True,fubah2,FALCONS +4 -164 *BEST BET
NFL,43,fubah2,True,fubah2,Jaguars +4 -164 *BEST BET Washington +4 -127
NFL,44,fubah2,True,fubah2,daaaaa Bears +7.5 -190 *BEST BET
NFL,45,fubah2,True,fubah2,Cardinals -1.5 -115 *BEST BET
NFL,46,fubah2,True,fubah2,8 - 0 so far today and 5 - 0 on *BEST BETS (Cardinals pending) Buccaneers -150
NFL,47,JDD,False,,@fubah2 nice job man.
NFL,48,fubah2,True,fubah2,Finally a loss.
NFL,49,fubah2,True,fubah2,9 - 1 so far today.... 5 - 1 with *BEST BETS
NFL,50,fubah2,True,fubah2,Laying off the Tenn/KC game....maybe some LIVE bets
NFL,51,fubah2,True,fubah2,Laying off the MNF game too ....just too close to call
NFL,52,szhcik,False,,depends on odds and steak... mmm gauchos pepper sauce french reisss mayonnnaise....
NFL,53,fubah2,False,,"My first NFL bet this year was Oct. 10, as annually I prefer to sit out the first few weeks and observe how the teams are performing before betting real money. Week 05: 1 - 1 (1 - 0 *Best Bets)Week 06: 1 - 1 (1 - 1 *Best Bets)Week 07: 4 - 3 (3 - 1 *Best Bets)Week 08: 7 - 2 (4 - 2 *Best Bets)Week 09: 9 - 1 (5 - 1 *Best Bets)-----------------------------------------YTD: 22 - 8 with 14 - 5 on *Best Bets It's fun to have good results...but over the years, hard earned experience in the betting trenches, I've learned to be very cautious in wake of a HOT streak -- because that's when I can expect a change in the weather pattern (ie, beatdown likely coming) It's like entering hurricane season in Florida....we can't stop it, all we can do is prepare for it. I'll still cap the games same as usual but starting now I'm cutting back 25% on my bet size. And if I get lucky and continue this hot streak again this week (ie, 70% or better), I'll chop my bet sizes in HALF thereafter."
NFL,54,fubah2,False,,"*As noted above, I am on a HOT streak and that usually spells BAD NEWS. Regression toward the mean is looming! Fading these might be a good bet, but then again, I'm not sure of that either. No matter, I do like these and haven't altered my capping style, BUT I have cut my wager size in anticipation of the higher risks during a hot streak. If my history follows I'll likely lose this weekend... Week 10 risky bets :(buying pts at some) Seahawks +3.5-145 *Best BetDolphins -192 *Best BetTitans -150 *Best BetdaaahhBears -146 *Best BetGiants -216 *Best BetChiefs -2.5-350 *Best BetSteelers +3.5-160 *Best BetCowboys -207 *Best Bet49ers -291 *Best BetdaahRaiduhs -216 GL with YOUR bets this week, fellas!! to my fellow vets:"
NFL,55,fubah2,True,fubah2,"And it has begun The better team not only loses outright but fails to cover as an underdog on a neutral field. As noted above, my betting history over decades typically turns ugly following a hot streak. Nothing I can do about it, because backing off the succeeding week does nothing. Still happens whenever I restart betting. Inevitable. HOT STREAKS do not last. Best I can do is slash my bet size and play through it, minimizing my losses. I've done that. But this is probably a betting-profit opportunity FOR YOU ......to fade some of these (above) Regardless what you do, I sincerely wish YOU good profits with YOUR bets today!"
NFL,56,fubah2,True,fubah2,"Sure enough......as predicted......the hot streak crashed and I lost -1.14 net units, albeit at 25% smaller bet sizes. Adding MNF: EAGLES -1 -500 *Best Bet"
NFL,57,KellyM_1964,True,fubah2,no way i would ever risk so much chalk but good luck
NFL,58,fubah2,True,fubah2,"Huge loss ....but I've never been able to accurately predict net turnovers and their impact in a given game. Hopefully this ends the anticipated correction to my recent HOT STREAK that I had predicted (above), and so I am returning to betting full units again. Onward. TNF: Titans +10 -307 buying pts @BetCRIS *BEST BET BoL with your bets tonight, fellas"
NFL,59,fubah2,True,fubah2,"Week 11, Nov 20, risky bets:(buying pts at some) Ravens -6-256 *BBFalcons -150Bills -370 *BBGiants -165 *BBSaints -143Broncos -145 *BBBengals -180 *BBVikings +8.5-280 *BB GL with your bets today fellas! Canadian League bet to win Grey Cup Championship: Winnerpeg Blue Bombers -245 to defeat Toronto Argos"
NFL,60,fubah2,True,fubah2,MNF in Mexico:49ers -3-315 *BB GL with your bets this week fellas!
NFL,61,fubah2,True,fubah2,"Week 11, Nov 20, risky bets:(buying pts at some) W Titans +10-307 *BBW Ravens -6-256 *BBW Falcons -150W Bills -370 *BBL Giants -165 *BBW Saints -143L Broncos -145 *BBW Bengals -180 *BBL Vikings +8.5-280 *BBW 49ers -3-315 *BB 7 - 3"
NFL,62,fubah2,True,fubah2,"HAPPY THANKSGIVING, gentlemen! Are we all looking forward to 4 very long days of football? Plus the festivities, the meal, and don't forget the massive sales this week!!! And we get to do it all over again in 4 weeks. LOL All the best to you with your bets this week!"
NFL,63,fubah2,False,,"Some key notes about the early game... By my reckoning, the Lions have been fortunate to win their last 3 games.They've been outplayed statistically in each and beneficiaries of considerable good fortune.While the Lions did lose at home to mediocre Dolphins by 27-31, they were fortunate to be that close as they got the game's only turnover at their 22 when Tua was driving in for the tying score.Playing at home vs a mediocre team,+1 net turnover to end a scoring drive and keep the game close Lions next game, also at home, also against a mediocre opponent (Green Bay) was a shocker to most who watched it. I had posted my bet on the Lions to cover 10 pts, but even I thought no way they would actually win straight up. Rogers played horribly and tossed 3 INTs! Two of those were early in the game after the Packers had driven down inside the Lions 6 yd line, and turned over in the endzone, denying 14 points on the board early! The lions were outgained by 135 yards too, but hung on to get the lucky win, at home, thanks to that lucky turn of events in the first Q.Playing at home vs a mediocre team,+2 net turnovers in the endzone to deny Packers 14 pts more..."
NFL,64,fubah2,False,,"Their next game they took to the road against a struggling 3 - 6 team, daaaaaBears, where more great fortune smiled on them. They were outplayed, 85 fewer yards gained and only 5.5 ypp compared to the Bears 7.0 ypp! And they needed the +71 net yards in penalty margin in their favor. Additionally, the lone turnover in the game went their way as well - a pick-6 from Chicago's 17 yd line. Despite being outplayed, but gaining big breaks on penalty yardage and that pick-6 the BEars missed a routine PAT, leaving the door open for the lucky Lions to win with a converted TD with 9 minutes left. A one point win against a bad team, where the lucky pick-6 from the 17 was the difference between a win and a loss.Playing on the road but against a weak opponent,+1 net turnover, a pick-6 in a one point win Then on Sunday, Lucky Lions faced a decent Giants squad on the road. I took the Giants straight up, figuring the Lions luck from the past 3 games - making them look better than they really are - would end in East Rutherford. I was wrong. Although the lucky Lions were outplayed for the 4th consecutive game, they gained all 3 of the game's turnovers....one from the 18 leading to an easy TD, and another from the 33 leading to another quick TD.Playing on the road vs a decent team,a whopping +3 net turnovers! Three straight wins has the Lions fans and the Lions themselves believing! Maybe even some bettors too! With 7 games left there's actually an outside chance the Lucky Lions could win the NFC north (if the Vikings tank). Hope is eternal! But today they are finally facing a powerful team. Bills rated among the top 3 teams in the league for good reasons. Lions have the worst defense overall and are the 5th WORST pass defence, while Bills have the #2 best offense overall (behind KC) and #3 best passing attack.Have to figure the powerful Bills are still fuming about that fluke loss at home to the Vikings and have something to prove to right the ship.I do not believe the Lions luck will extend to 5 games. They are not facing a weak or mediocre squad this game!All things being equal, the better team here should win outright by double-digits, imo.But there's the rub. The lucky Lions *could* get lucky once again! It certainly can happen! And they will likely need the breaks to cover the spread and most certainly need multiple breaks to win outright vs arguably the best team in the league.Bills -3-298"
NFL,65,2goodhahaha,False,,Great info write up keep them coming. Much appreciated. I suggested you take the OVER 2. Happy Thanksgiving
NFL,66,Lantz54,False,,Are you buying down to-3 for -298? Thanks Lantz54
NFL,67,Zeus4par,True,fubah2,That's a lot of juice to risk against a hot team playing at home on a short week. Hard to pass up Detroit getting 10 pts here.
NFL,68,fubah2,True,Lantz54,"Yes. Given the Lions luck of late I didn't want to risk -485 on the ML but still believe Bills odds of winning are very high here, so they should cover a fieldgoal, I hope. Lions looked impressive on their TD drive. No luck there. GL with your bets today"
NFL,69,fubah2,True,2goodhahaha,"Thank you. I am walking a tightrope though due to my legendary ""writeups curse."" And sure enough, although the Bills gain a turnover and turn it into points, offsetting that gain is now the loss of Vonn Miller for the game, which is tied now. Lions covering the pt spread looks really good right now. Could have a shootout brewing here."
NFL,70,fubah2,True,fubah2,Cowboys -3-350
NFL,71,fubah2,True,fubah2,Wow. Bills miss a PAT after making 105 consecutive without a miss. That means Lucky Lions only need a FG to tie it instead of a TD. Huge break for Lions.
NFL,72,fubah2,True,fubah2,Pushed because of that fluky missed PAT
NFL,73,fubah2,False,,Now we know the answer to the question that was plaguing some of us all game: how many players can fit into the red Salvation Army donations pot
NFL,74,fubah2,True,fubah2,"Final game of the day Vikings -135 I've got Ole Miss in the other forum GL with your bets, gentlemen!"
NFL,75,fubah2,True,fubah2,"Put a few more bucks on this one so I am upgrading this Vikings bet to a *BEST BET GL with your bets, gentlemen!"
NFL,76,fubah2,True,fubah2,"Now we have 2 full days of solid college football GL with your bets this weekend, gentlemen!"
NFL,77,fubah2,True,fubah2,"Added risky bets for Week 12:Commanders -185Jaguars +10.5-270NY Jets -290Dolphins -6-280Browns +10-298Seahawks -200 *BB49ers -2.5-324 *BBEagles -300 *BB GL with your bets today, gentlemen!"
NFL,78,fubah2,True,fubah2,Added risky bets for Week 12: W Commanders -185W NY Jets -290W Dolphins -6-280
NFL,79,AllDay51,False,,@fubah2 Where’d you get these lines? Alternate lines?
NFL,80,fubah2,True,AllDay51,"Yes, correct. Of course as you can see from the juice I do pay aheavy price to buy down the pts, but I try and pick and choose carefully the right spots to do it based on my assessment of overall probabilities of winning. Two weeks ago I took an ""alternate line"" at -1 -500......and lost It happens"
NFL,81,fubah2,True,fubah2,Seahawks -200 *BB pending49ers -2.5-324 *BB pendingEagles -300 *BB pending
NFL,82,fubah2,True,fubah2,Seahawks -200 *BB pending Eagles -300 *BB pending
NFL,83,fubah2,True,fubah2,Eagles -300 *BB pending
NFL,84,zircon,True,fubah2,Who do you like in the MNF game?
NFL,85,fubah2,True,fubah2,9 more winners!
NFL,86,Zeus4par,True,fubah2,Heck of a run
NFL,87,fubah2,True,Zeus4par,"My first NFL bet this year was Oct. 10, 2022 Annually I prefer to sit out the first few weeks and observe how the teams are performing before betting real money. Week 05: 1 - 1 (1 - 0 *Best Bets)Week 06: 1 - 1 (1 - 1 *Best Bets)Week 07: 4 - 3 (3 - 1 *Best Bets)Week 08: 7 - 2 (4 - 2 *Best Bets)Week 09: 9 - 1 (5 - 1 *Best Bets) **Reduced my bet sizes for Week 10 anticipating correction to 2 week HOT StreakWeek 10: 6 - 5 (5 - 4 *Best Bets) **Beatdown on juice, but would've been worse if I had not reduced bet sizes Resumed normal bet size for Week 11Week 11: 7 - 3 (5 - 3 *Best Bets)Week 12: 9 - 1 (3 - 1 *Best Bets) ------------------------------------ YTD: 44 -17 **Reducing my bet sizes again, anticipating a correction to this 2nd HOT streak"
NFL,88,fubah2,True,zircon,Neither........should be close........probably within 7 max either way
NFL,89,fubah2,True,fubah2,"In fact, I think I won't make a serious pre-game bet this evening and just play around with live action props. But since I believe this is no more than a TD either way here's a fun prop I grabbed: Steelers +8.5 -307 *AND* Colts +4.5 -256 *Note: posted after kickoff (Pitt gets 7 yds on 1st down) and will not count on my YTD regardless win or lose."
NFL,90,fubah2,True,fubah2,"First and goal, down 6 pts at home................ and the fumble the handoff for a sure TD.......and lose it. Flukes happen like that. There's just no consistent way to handicap when, where, or how often the breaks will occur"
NFL,91,fubah2,True,fubah2,"Thursday game... Ordinarily I would lean toward Bills on Thursday night at -3.5 as the road fav at Patriots, but the absense of Vonn Miller now gives serious pause. He's a force and they won't have him for at least a week if not two. Pats looking better now"
NFL,92,Zeus4par,True,fubah2,I see it the other way. While Miller is a serious loss to the front 7 they get two defensive ends back on the line. Epenesa and Rousseau. They can now freely substitute in that defensive front wall and keep them fresher with quality bookend pass rushers. Bills don't have to worry about Jones taking off with the ball. Advantage Bills!
NFL,93,fubah2,True,Zeus4par,I see your point
NFL,94,fubah2,True,fubah2,"Very risky bets for Week 13 (due to anticipation for correction): *I have once again trimmed my bet sizing by 25%; and buying pts on some Lions +3.5-177 *Best Bet Bengals +3.5-177 *Best Bet GL with your bets this weekend, fellas!"
NFL,95,Fuse,False,,GL 4
NFL,96,fubah2,True,fubah2,"Tonight: Patriots +10.5 -260 I see this one possibly going either way, actually. Can make a good case for either team. That said I like the cushion of 10.5 points on the homies here (yes I am paying for it but the odds it stays within 10 pts are heavily in my favor)"
NFL,97,fubah2,True,fubah2,"Upgrading my Patriots +10.5-260 to a *BEST BET and going for a middle here, adding: BILLS -198"
NFL,98,fubah2,True,fubah2,Starting LT for Bills in trouble now. It's obvious. Pats are definitely going to exploit this on Josh Allen's blind side!!
NFL,99,fubah2,True,fubah2,"**Reducing my bet sizes again, anticipating a correction to 2nd HOT streak Split my middle shot on Thursday Sunday's risky bets following hot streak = very risky!:Lions +4.5-222 *BBVikings -150Eagles -220 *BBGiants +3.5-160"
NFL,100,fubah2,True,fubah2,"GL with your bets today, fellas!!"
NFL,8826,fubah2,True,Europa,"@Europa And YOU as well, Europa. I'm calling this a virtual coin-flipper heading into the game...."
NFL,8827,fubah2,True,fubah2,"But that's before the game starts... Once it is fully underway we will see how things shape up, possibly suggesting an edge - or a new edge - for either team. When it's a close call like this game, it's ALWAYS wiser to watch the play first and avoid betting before the game....Then if bet ""live"" if a good and sound opportunity presents itself, despite the fact that juice in live betting is slightly higher..."
NFL,8828,fubah2,False,,2 sacks on MAYE already in less than a full Q....
NFL,8829,stevebo42,False,,@fubah2 That last one has me puzzled. Can see him coming and no reaction from May to move
NFL,8830,Europa,False,,"Battle of trenches in this game, but Pats seem able to run the ball better than Seahawks at this point."
NFL,8831,RedskinsRback,False,,@fubah2 ANY HALF TIME PLAYS???? WHAT ARE YOU THINKING ??
NFL,8832,RedskinsRback,False,,@RedskinsRback Seattle -14 1/2 +115
NFL,8833,fubah2,False,,"NOTHING stands out to me as worthy of a sound bet......but I will say, late 3Q, if NE fails to score *SOMETHING* on this drive, then FOR SURE they lose the game...."
NFL,8834,shadowmagic808,True,fubah2,This game is done. Patriots offense is terrible. Strength of schedule is definitely showing
NFL,8835,fubah2,True,fubah2,....and there youu have it. Unfortunately the moneylines on SEATTLE now are outrageous. Even the alt-lines are ridiculous. Bet365 has an alt-total UNDER 31.5 which I am considering.....
NFL,8836,fubah2,True,fubah2,No bets on ANYTHING for this SB this year. And this game is over at 19 - 0 in 4Q....So shutting off the tv and heading for the kitchen to do dishes and an oven cleaning....
NFL,8837,fubah2,False,,"Soooooo, QB Sam Darnold leads his team to 14 regular season wins in Minnesota and they cast him off. He joins Seattle and leads his new teammates to 14 regular season wins then adds a SuperBowl ring..."
NFL,8838,Europa,True,fubah2,"Got to give you credit for the no action discipline on the big game, Fufah."
NFL,8839,Europa,False,,"@Europa typo, Fubah"
NFL,8840,fubah2,True,Europa,"....and now I have a crystal clean oven, finally!"
NFL,8841,RayRayK,False,,"I had 5K on Seattle , one of the easiest picks for me this year and worked out. Pats were lucky to beat Denver and back up QB - Seattle beat the Rams and I felt they were the best team. I was also betting against Maye making history as the youngest QB to win a SB . It was a defensive battle but the better team won that day ."
NFL,8842,fubah2,False,,"The Miami Dolphins released Tyreek Hill in a flurry of roster moves Monday that will clear significant salary cap space. Former Pro Bowl linebacker Bradley Chubb was also informed of his impending release Monday, per multiple sources ""The Cheetah don't slow down. Ever. So to everyone wondering what's next... just wait on it. The Cheetah will be back...Born Again,"" Hill wrote."
NFL,8843,fubah2,False,,"In September 2026, the 49ers will take part in the NFL's first-ever regular-season game in Australia, facing the Los Angeles Rams at the Melbourne Cricket Ground (MCG). The Rams will serve as the designated home team"
NFL,8844,fubah2,True,fubah2,No official date set
NFL,8845,fubah2,False,,"The Chicago Bears' endeavor for a new stadium took a ""meaningful step"" forward Thursday, opening the door for the storied franchise to leave Illinois to potentially build a new, domed stadium in Northwest Indiana. Indiana lawmakers in the state House Ways and Means Committee unanimously approved an amendment to Indiana State Bill 27 by a vote of 24-0 on Thursday that would clear a path for the Bears to build a stadium in Hammond, Indiana."
NFL,8846,trust-me,False,,@fubah2 Daaaaa BEARSZZZZZZZZ. !! THANK YOU SIR 4 Services rendered. Over and Out
NFL,8847,samiseo01,True,fubah2,
NFL,8848,fubah2,False,,"For the third consecutive year, the Miami Dolphins ranked first overall in the NFL Players Association annual report cards, according to survey results obtained by ESPN. The report cards grade franchises from A-plus to F-minus on everything from ownership to treatment of families. Per the survey results obtained by ESPN, this year's report cards are based on responses from 1,759 players."
NFL,1,hoopsvader,False,,Don't fly and drink Dood is a nasty drunk
NFL,2,Natty68,False,,How many highly publicized arrests is it for that guy? Seems like he was getting arrested every other day when he was playing
NFL,3,ArtSchlichterJr,False,,Knock me over with a feather. Did not see that coming....
NFL,4,reffub,False,,Doesn’t sound drunk at all. What if he really did ask for another charger and was told to shut up.
NFL,5,PNbeinganSN,False,,Great video!
NFL,1,hoopsvader,False,,Don't fly and drink Dood is a nasty drunk
NFL,2,Natty68,False,,How many highly publicized arrests is it for that guy? Seems like he was getting arrested every other day when he was playing
NFL,3,ArtSchlichterJr,False,,Knock me over with a feather. Did not see that coming....
NFL,4,reffub,False,,Doesn’t sound drunk at all. What if he really did ask for another charger and was told to shut up.
NFL,5,PNbeinganSN,False,,Great video!
NFL,1,Token13,False,,Why is that? Because Seahawks will be the only team to lose to of the youngest quarterbacks in history the first was Big Ben Steelers quarterback in superbowl XL the other will be you guessed it Drake Maye Patriots quarterback in superbowl 60. Patriots will win declare it Patriot day.
NFL,2,Token13,False,,@Token13 Theory Coincidence Seahawks lost in superbowl XL to Steelers will they lose in superbowl LX to Patriots the answer is yes!
NFL,3,Cooler999,False,,Is this really Jimmy Gape?
NFL,4,Token13,False,,@Cooler999 No.Im the original king of parlays in baseball
NFL,5,KTriple,False,,I like it
NFL,6,MrBator,False,,I think that the Patriots are going to come up short today in Super Bowl 60. How short? As short as Drake Maye's wife. Seahawks by double digits.
